ID,Starttidspunkt,Færdiggørelsestidspunkt,Mail,Navn,What is your gender?,What is your age?,What is your living situation?,Are you enrolled in an academic institute?,What kind of academic institute are you going to?,What academic degree are you currently pursuing?,Where is your home university located?,What is your current average grade?,What is the main reason you are studying?,What are your current studies?,How did your financial situation impact your choice of studies?,What would you have liked to study if money would not affect you?,Did your parents attend university?,How do you finance yourself/studies?,Do you have a job besides your studies?,What is the motivation for your work?,How many hours do you work a week?,What is your brutto monthly salary in euros?,"What is your average monthly income from all sources in euros? (Parents, Work, State, other)",Cash from support,"How often do you interact with your friends outside of university on a weekly basis? (Party, Resturant, Bar...)",Studying comes naturally to me.,I often feel stressed.,I like going to university.,University equals meeting my friends.,I have plenty of leisure time.,I would like to spend more time with my friends.,I am happy.
13,6.13.22 8:53:05,6.13.22 8:55:45,anonymous,,Female,19,Living alone,Yes,Public,Bachelor,Germany,2.5,Because it is a fun time;,Business,Accomodation during studies;,Political science,Both;,Working;Family;Personal savings;,No,,,,501-1000,750,More than five days a week,Disagree,Agree,Disagree,Disagree,Strongly agree,Disagree,Neutral
14,6.13.22 8:50:31,6.13.22 8:56:05,anonymous,,Male,25,Living with other people,Yes,Public,PhD,Germany,1.6,Because it is a necessity to get a good job;,Law,It had no impact;,Law,None;,"State loan (BAFog, Student loan..);Working;",Yes,"To finance necessities (Food, studies, rent);To finance the nonnecessities (sociallife, party, travel);Gain expertise and get experience in the field;Personal interest;",20-Nov,1501-2000,1501-2000,0,Once or twice a week,Agree,Neutral,Agree,Agree,Disagree,Agree,Agree
15,6.13.22 8:52:31,6.13.22 8:56:29,anonymous,,Male,23,Living with parents,Yes,Public,Bachelor,Germany,1.7,Because I can learn more about topics that interest me;Because it is a necessity to get a good job;,Business,It had no impact;,,Both;,Working;Scholarships;Family;,Yes,"To finance the nonnecessities (sociallife, party, travel);",20-Nov,0-500,501-1000,500,Once or twice a week,Neutral,Disagree,Strongly agree,Agree,Neutral,Agree,Agree
16,6.13.22 8:53:16,6.13.22 8:56:40,anonymous,,Male,25,Living with other people,Yes,Public,Bachelor,Germany,1.7,Because it is a necessity to get a good job;Because I did not know what else to do;Because I can see new cities and meet new places;Because it is a fun time;,Economics,It had no impact;,Philosphy,Mother;,Working;,Yes,"To finance necessities (Food, studies, rent);To finance the nonnecessities (sociallife, party, travel);Experience for future job applications;Gain expertise and get experience in the field;Personal interest;",20-Nov,1001-1500,1001-1500,0,three to four days a week,Agree,Disagree,Agree,Agree,Disagree,Neutral,Strongly agree
17,6.13.22 8:52:53,6.13.22 8:56:54,anonymous,,Female,21,Living alone,Yes,Public,Bachelor,Germany,1.8,Because it is a necessity to get a good job;Because all my friends did it;Because it is a fun time;Because I can see new cities and meet new places;,Business,Location of studies;Accomodation during studies;,Psychology,Father;,Family;Working;Personal savings;,Yes,"To finance necessities (Food, studies, rent);Experience for future job applications;Gain expertise and get experience in the field;To finance the nonnecessities (sociallife, party, travel);Personal interest;",20-Nov,1501-2000,2001-2500,500,More than five days a week,Agree,Strongly agree,Agree,Neutral,Strongly disagree,Neutral,Agree
18,6.13.22 8:58:29,6.13.22 9:01:44,anonymous,,Male,24,Living alone,Yes,Public,Bachelor,Germany,2.2,Because it is a necessity to get a good job;Because I can learn more about topics that interest me;,Business,It had no impact;,Business,None;,"Working;Personal savings;State loan (BAFog, Student loan..);",Yes,"To finance necessities (Food, studies, rent);Experience for future job applications;",20-Nov,501-1000,1001-1500,500,Once or twice a week,Strongly agree,Neutral,Strongly agree,Neutral,Neutral,Neutral,Strongly agree
19,6.13.22 8:57:08,6.13.22 9:01:49,anonymous,,Female,21,Living with other people,Yes,Public,Bachelor,Germany,4,Because I can learn more about topics that interest me;Because I can see new cities and meet new places;,Law,Location of studies;Accomodation during studies;,,Both;,Working;Family;,Yes,"To finance necessities (Food, studies, rent);To finance the nonnecessities (sociallife, party, travel);",10-Jan,0-500,501-1000,250,More than five days a week,Agree,Disagree,Agree,Neutral,Disagree,Neutral,Agree
20,6.13.22 9:03:07,6.13.22 9:06:34,anonymous,,Female,23,Living alone,Yes,Public,Bachelor,Germany,2,Because it is a necessity to get a good job;Because I did not know what else to do;Because I can see new cities and meet new places;,Business,Location of studies;Choice of university;Accomodation during studies;,Business,None;,Working;Family;,Yes,"To finance the nonnecessities (sociallife, party, travel);Experience for future job applications;Gain expertise and get experience in the field;",20-Nov,501-1000,1501-2000,1000,three to four days a week,Disagree,Neutral,Strongly disagree,Strongly disagree,Disagree,Strongly agree,Agree
21,6.13.22 9:03:10,6.13.22 9:07:54,anonymous,,Female,21,Living alone,Yes,Private,Bachelor,Germany,1.3,Because it is a necessity to get a good job;,Social sciences,Choice of university;Field of studies;,Social science ,Mother;,Working;Family;,Yes,Experience for future job applications;Gain expertise and get experience in the field;,21-30,501-1000,501-1000,0,Once or twice a week,Neutral,Strongly agree,Agree,Disagree,Disagree,Agree,Neutral
22,6.13.22 9:04:03,6.13.22 9:08:13,anonymous,,Male,22,Living alone,Yes,Public,Bachelor,Germany,1.8,Because it is a necessity to get a good job;,Economics,Location of studies;Choice of university;Accomodation during studies;Field of studies;,Political science,None;,Family;Working;,Yes,"Gain expertise and get experience in the field;Experience for future job applications;To finance necessities (Food, studies, rent);To finance the nonnecessities (sociallife, party, travel);",31+,1501-2000,1501-2000,0,More than five days a week,Neutral,Neutral,Disagree,Disagree,Disagree,Neutral,Neutral
23,6.13.22 9:14:38,6.13.22 9:18:28,anonymous,,Female,21,Living alone,Yes,Private,Bachelor,Germany,1.9,Because it is a necessity to get a good job;Because I can learn more about topics that interest me;,Business,Choice of university;,,Mother;,Family;,No,,,,,0,Once or twice a week,Disagree,Agree,Agree,Disagree,Neutral,Disagree,Agree
24,6.13.22 9:27:29,6.13.22 9:30:22,anonymous,,Female,20,Living with other people,Yes,Public,Bachelor,Germany,2.2,Because it is a necessity to get a good job;Because I can learn more about topics that interest me;Because I can see new cities and meet new places;Because it is a fun time;,Engineering,It had no impact;,,Both;,Family;,No,,,,501-1000,750,three to four days a week,Neutral,Strongly agree,Strongly agree,Strongly agree,Disagree,Agree,Agree
25,6.13.22 9:31:46,6.13.22 9:34:36,anonymous,,Female,22,Living with other people,Yes,Public,PhD,Germany,2,Because it is a necessity to get a good job;,Humanities,It had no impact;,Humanities,None;,Working;Family;,Yes,"To finance the nonnecessities (sociallife, party, travel);",10-Jan,501-1000,501-1000,0,three to four days a week,Neutral,Strongly agree,Agree,Agree,Strongly disagree,Agree,Neutral
26,6.13.22 9:30:54,6.13.22 9:37:01,anonymous,,Female,20,Living with parents,Yes,Public,Bachelor,Germany,1.9,Because it is a necessity to get a good job;Because I can learn more about topics that interest me;,Business,Location of studies;Accomodation during studies;Field of studies;,Humanities,Mother;,"State loan (BAFog, Student loan..);",No,,,,501-1000,750,three to four days a week,Agree,Strongly agree,Agree,Strongly disagree,Neutral,Neutral,Agree
27,6.13.22 9:39:04,6.13.22 9:41:54,anonymous,,Male,23,Living with other people,Yes,Public,PhD,Germany,4,Because I can learn more about topics that interest me;,Natural sciences,It had no impact;,Natural sciences,Both;,Family;Working;,Yes,"To finance necessities (Food, studies, rent);To finance the nonnecessities (sociallife, party, travel);Experience for future job applications;Gain expertise and get experience in the field;",10-Jan,0-500,501-1000,500,Once or twice a week,Neutral,Agree,Agree,Strongly agree,Disagree,Strongly agree,Agree
28,6.13.22 9:42:39,6.13.22 9:45:03,anonymous,,Female,21,Living alone,Yes,Public,PhD,Germany,3,Because it is a necessity to get a good job;,Humanities,It had no impact;,Humanities,Both;,Working;Family;Personal savings;,Yes,"To finance necessities (Food, studies, rent);To finance the nonnecessities (sociallife, party, travel);Gain expertise and get experience in the field;",10-Jan,0-500,0-500,0,Once or twice a week,Neutral,Neutral,Neutral,Strongly agree,Disagree,Agree,Agree
29,6.13.22 9:43:13,6.13.22 9:48:21,anonymous,,Male,25,Living with other people,Yes,Public,Master,Germany,2,Because it is a necessity to get a good job;,Natural sciences,Accomodation during studies;,,Both;,Family;,Yes,Personal interest;,10-Jan,0-500,501-1000,500,three to four days a week,Strongly agree,Neutral,Agree,Agree,Agree,Agree,Agree
30,6.13.22 9:48:19,6.13.22 9:51:20,anonymous,,Male,21,Living with parents,Yes,Public,Bachelor,Germany,2.7,Because I did not know what else to do;Because I can learn more about topics that interest me;Because it is a necessity to get a good job;Because all my friends did it;,Engineering,It had no impact;,Engineering,None;,Family;,No,,,,0-500,250,Once or twice a week,Strongly agree,Strongly agree,Agree,Agree,Strongly disagree,Strongly agree,Agree
31,6.13.22 9:50:54,6.13.22 9:54:09,anonymous,,Female,21,Living with other people,Yes,Public,Bachelor,Germany,2.6,Because it is a necessity to get a good job;,Business,It had no impact;,Arts,Both;,Working;Family;,Yes,"Gain expertise and get experience in the field;Personal interest;To finance necessities (Food, studies, rent);Experience for future job applications;",20-Nov,501-1000,1001-1500,500,Once or twice a week,Neutral,Agree,Agree,Neutral,Disagree,Strongly agree,Agree
32,6.13.22 10:05:01,6.13.22 10:09:10,anonymous,,Female,20,Living with other people,Yes,Public,Bachelor,Germany,3.2,Because it is a necessity to get a good job;,Law,Accomodation during studies;,Law,Both;,Working;Family;Personal savings;,Yes,"To finance the nonnecessities (sociallife, party, travel);",10-Jan,0-500,501-1000,500,three to four days a week,Agree,Strongly agree,Strongly agree,Strongly agree,Disagree,Agree,Neutral
33,6.13.22 10:11:27,6.13.22 10:15:47,anonymous,,Female,22,Living alone,Yes,Public,Bachelor,Germany,2.1,Because it is a necessity to get a good job;Because I can learn more about topics that interest me;,History,Accomodation during studies;,History,None;,"Working;Family;State loan (BAFog, Student loan..);",Yes,"To finance necessities (Food, studies, rent);To finance the nonnecessities (sociallife, party, travel);Experience for future job applications;Gain expertise and get experience in the field;",10-Jan,0-500,501-1000,500,three to four days a week,Disagree,Agree,Neutral,Agree,Strongly agree,Neutral,Neutral
34,6.13.22 10:13:43,6.13.22 10:17:13,anonymous,,Female,21,Living alone,Yes,Public,Bachelor,Germany,3,Because it is a necessity to get a good job;,Law,It had no impact;,Law,Both;,"State loan (BAFog, Student loan..);",Yes,"To finance the nonnecessities (sociallife, party, travel);",10-Jan,0-500,501-1000,500,Once or twice a week,Neutral,Agree,Strongly agree,Strongly agree,Neutral,Disagree,Strongly agree
35,6.13.22 10:16:03,6.13.22 10:18:58,anonymous,,Female,21,Living alone,Yes,Public,Bachelor,Germany,1.5,Because it is a necessity to get a good job;,Business,It had no impact;,Business,Father;,Family;Working;,Yes,"To finance the nonnecessities (sociallife, party, travel);Experience for future job applications;",20-Nov,1001-1500,2001-2500,1000,Once or twice a week,Strongly disagree,Strongly agree,Neutral,Strongly agree,Strongly disagree,Agree,Agree
36,6.13.22 10:19:24,6.13.22 10:22:35,anonymous,,Female,21,Living with parents,Yes,Public,Bachelor,Germany,2.3,Because I did not know what else to do;Because it is a necessity to get a good job;,Business,It had no impact;,,Father;,Working;Family;,Yes,"To finance the nonnecessities (sociallife, party, travel);Experience for future job applications;Gain expertise and get experience in the field;",20-Nov,1001-1500,1001-1500,0,Once or twice a week,Neutral,Agree,Disagree,Neutral,Disagree,Strongly agree,Agree
37,6.13.22 10:32:08,6.13.22 10:36:07,anonymous,,Female,20,Living with parents,Yes,Public,Bachelor,Germany,2.1,Because it is a necessity to get a good job;Because I can learn more about topics that interest me;Because I did not know what else to do;,Engineering,Accomodation during studies;,Engineering,Both;,Personal savings;Working;Family;,Yes,"To finance necessities (Food, studies, rent);To finance the nonnecessities (sociallife, party, travel);",10-Jan,0-500,0-500,0,Once or twice a week,Neutral,Agree,Agree,Agree,Disagree,Strongly agree,Agree
38,6.13.22 11:17:10,6.13.22 11:20:06,anonymous,,Female,23,Living with other people,Yes,Private,Master,Germany,1.2,Because it is a necessity to get a good job;,Natural sciences,Accomodation during studies;,Natural sciences,Father;,Family;Working;Personal savings;Scholarships;,Yes,"To finance the nonnecessities (sociallife, party, travel);Experience for future job applications;Personal interest;",10-Jan,501-1000,1001-1500,500,three to four days a week,Strongly agree,Agree,Strongly agree,Disagree,Disagree,Agree,Agree
39,6.13.22 13:03:09,6.13.22 13:08:25,anonymous,,Female,20,Living with other people,Yes,Private,Bachelor,Germany,2,Because I can learn more about topics that interest me;,Humanities,Location of studies;Choice of university;,Humanities,None;,Working;Family;Personal savings;,Yes,"To finance necessities (Food, studies, rent);To finance the nonnecessities (sociallife, party, travel);",20-Nov,0-500,501-1000,500,Once or twice a week,Disagree,Agree,Agree,Agree,Disagree,Agree,Agree
40,6.13.22 13:53:44,6.13.22 13:58:46,anonymous,,Female,20,Living with parents,Yes,Private,Bachelor,Germany,2,Because it is a necessity to get a good job;Because I can learn more about topics that interest me;,Arts,Location of studies;,Arts,None;,Working;Dual study;,No,,,,1001-1500,1250,three to four days a week,Agree,Disagree,Agree,Agree,Agree,Agree,Strongly agree
41,6.13.22 14:19:56,6.13.22 14:22:40,anonymous,,Female,20,Living with parents,No,,,,,,,,,,,No,,,,0-500,250,three to four days a week,Neutral,Neutral,Agree,Neutral,Neutral,Neutral,Agree
42,6.13.22 14:20:19,6.13.22 14:22:51,anonymous,,Female,23,Living with other people,Yes,Public,Bachelor,Germany,1.2,Because it is a necessity to get a good job;Because I can learn more about topics that interest me;,Humanities,It had no impact;,,None;,Working;Family;,Yes,"To finance necessities (Food, studies, rent);To finance the nonnecessities (sociallife, party, travel);Gain expertise and get experience in the field;",20-Nov,501-1000,1001-1500,500,Once or twice a week,Agree,Agree,Neutral,Strongly disagree,Disagree,Disagree,Agree
43,6.13.22 14:28:58,6.13.22 14:30:29,anonymous,,Female,18,Living with parents,No,,,,,,,,,,,Yes,"To finance necessities (Food, studies, rent);",10-Jan,0-500,,0,Once or twice a week,Neutral,Agree,Neutral,Agree,Neutral,Agree,Agree
44,6.13.22 15:58:18,6.13.22 16:05:35,anonymous,,Female,22,Living alone,Yes,Public,Bachelor,Germany,1.8,Because it is a necessity to get a good job;Because I can learn more about topics that interest me;Because I did not know what else to do;,Engineering,It had no impact;,History,Father;,"State loan (BAFog, Student loan..);Family;Working;",Yes,"To finance necessities (Food, studies, rent);To finance the nonnecessities (sociallife, party, travel);Experience for future job applications;Gain expertise and get experience in the field;",10-Jan,,,0,,Agree,Strongly agree,Agree,Agree,Agree,Agree,Neutral
45,6.13.22 16:19:27,6.13.22 16:21:43,anonymous,,Female,21,Living alone,Yes,Public,Bachelor,Germany,1.1,Because I can learn more about topics that interest me;Because it is a necessity to get a good job;Because I can see new cities and meet new places;Because it is a fun time;,Business,It had no impact;,Business,None;,"Working;State loan (BAFog, Student loan..);Scholarships;",Yes,"Gain expertise and get experience in the field;To finance necessities (Food, studies, rent);",20-Nov,1001-1500,1501-2000,500,three to four days a week,Strongly agree,Strongly agree,Agree,Neutral,Strongly disagree,Strongly agree,Agree
46,6.13.22 17:35:33,6.13.22 17:38:53,anonymous,,Male,24,Living with other people,Yes,Public,Bachelor,Germany,1.3,Because I can learn more about topics that interest me;Because I can see new cities and meet new places;Because it is a fun time;,Business,Location of studies;Accomodation during studies;,Medicine,None;,Working;Scholarships;Personal savings;Family;,Yes,"To finance necessities (Food, studies, rent);To finance the nonnecessities (sociallife, party, travel);Experience for future job applications;Gain expertise and get experience in the field;",20-Nov,501-1000,1001-1500,500,three to four days a week,Neutral,Agree,Agree,Neutral,Neutral,Strongly agree,Neutral
47,6.13.22 19:18:04,6.13.22 19:22:25,anonymous,,Male,20,Living with other people,Yes,Public,Bachelor,Germany,1.7,Because I can learn more about topics that interest me;,Business,It had no impact;,Music,Both;,Working;Family;Personal savings;,Yes,"To finance the nonnecessities (sociallife, party, travel);To finance necessities (Food, studies, rent);Experience for future job applications;Gain expertise and get experience in the field;",20-Nov,1001-1500,2001-2500,1000,Once or twice a week,Agree,Agree,Agree,Neutral,Disagree,Agree,Agree
48,6.13.22 23:34:41,6.13.22 23:37:43,anonymous,,Male,18,Living with parents,Yes,Public,Bachelor,Germany,1.9,Because it is a necessity to get a good job;,Business,Choice of university;,Business,Father;,Working;Family;Personal savings;,Yes,"To finance necessities (Food, studies, rent);To finance the nonnecessities (sociallife, party, travel);Experience for future job applications;Gain expertise and get experience in the field;",21-30,1001-1500,2001-2500,1000,Once or twice a week,Agree,Strongly agree,Agree,Neutral,Neutral,Agree,Neutral
49,6.14.22 8:36:10,6.14.22 8:41:25,anonymous,,Male,23,Living alone,Yes,Public,Bachelor,Denmark,1.3,Because I did not know what else to do;,Engineering,Field of studies;,Diplomat,None;,SU (Statens Uddannelsesstøtte);Personal savings;,No,,,,1001-1500,1500,three to four days a week,Strongly agree,Strongly disagree,Neutral,Neutral,Agree,Strongly agree,Strongly agree
50,6.14.22 8:54:22,6.14.22 8:55:59,anonymous,,Female,23,Living alone,No,,,,,,,,,,,No,,,,0-500,250,Once or twice a week,Agree,Strongly disagree,Neutral,Neutral,Agree,Agree,Strongly agree
51,6.14.22 8:55:06,6.14.22 8:59:35,anonymous,,Male,23,Living with other people,Yes,Public,Master,Denmark,3.5,Because I can learn more about topics that interest me;,Law,Location of studies;Choice of university;Accomodation during studies;,Law,Both;,"Working;Family;Personal savings;State loan (BAFog, Student loan..);SU (Statens Uddannelsesstøtte);",Yes,"To finance necessities (Food, studies, rent);Experience for future job applications;",21-30,1001-1500,2001-2500,1000,Once or twice a week,Agree,Disagree,Agree,Disagree,,,Neutral
52,6.14.22 9:00:25,6.14.22 9:07:37,anonymous,,Female,24,Living with other people,Yes,Public,Bachelor,Denmark,1.5,Because it is a necessity to get a good job;Because I can learn more about topics that interest me;,Medicine ,It had no impact;,Medicine,Both;,SU (Statens Uddannelsesstøtte);Working;Personal savings;Family;,Yes,"To finance the nonnecessities (sociallife, party, travel);Gain expertise and get experience in the field;",10-Jan,501-1000,1501-2000,1000,Once or twice a week,Agree,Agree,Neutral,Agree,Disagree,Strongly agree,Neutral
53,6.14.22 9:08:54,6.14.22 9:12:04,anonymous,,Female,25,Living with other people,Yes,Public,Master,Denmark,2,Because I can learn more about topics that interest me;Because it is a fun time;,Economics,It had no impact;,Economics,Father;,Personal savings;SU (Statens Uddannelsesstøtte);Family;,No,,,,501-1000,750,three to four days a week,Strongly agree,Strongly disagree,Strongly agree,Agree,Agree,Disagree,Strongly agree
54,6.14.22 9:11:17,6.14.22 9:15:12,anonymous,,Female,22,Living with other people,Yes,Public,Master,Denmark,3,Because it is a necessity to get a good job;Because I can learn more about topics that interest me;Because it is a fun time;,Natural sciences,It had no impact;,Natural sciences,None;,SU (Statens Uddannelsesstøtte);,Yes,Experience for future job applications;Gain expertise and get experience in the field;Personal interest;,10-Jan,0-500,501-1000,500,More than five days a week,Strongly agree,Agree,Strongly agree,Agree,Disagree,Agree,Agree
55,6.14.22 10:00:46,6.14.22 10:05:04,anonymous,,Male,23,Living alone,Yes,Public,Master,Denmark,2.5,Because I can learn more about topics that interest me;,Engineering,It had no impact;,Arts,None;,SU (Statens Uddannelsesstøtte);,No,,,,501-1000,750,three to four days a week,Agree,Disagree,Agree,Agree,Disagree,Neutral,Strongly agree
56,6.14.22 10:01:59,6.14.22 10:05:27,anonymous,,Female,26,Living alone,Yes,Public,Master,Denmark,2,Because it is a necessity to get a good job;Because I can learn more about topics that interest me;,Economics,Accomodation during studies;,Economics,None;,Working;SU (Statens Uddannelsesstøtte);,Yes,"To finance necessities (Food, studies, rent);To finance the nonnecessities (sociallife, party, travel);Experience for future job applications;",20-Nov,1001-1500,1501-2000,500,Once or twice a week,Agree,Agree,Strongly agree,Agree,Strongly agree,Disagree,Agree
57,6.14.22 9:56:17,6.14.22 10:09:06,anonymous,,Male,26,Living alone,Yes,Public,Master,Denmark,2.66,Because it is a necessity to get a good job;,Economics,Accomodation during studies;Location of studies;,History,Both;,SU (Statens Uddannelsesstøtte);Personal savings;,No,,,,501-1000,750,Once or twice a week,Agree,Disagree,Agree,Agree,Neutral,Agree,Neutral
58,6.14.22 10:05:04,6.14.22 10:19:57,anonymous,,Female,23,Living alone,Yes,Public,Master,Denmark,3,Because it is a necessity to get a good job;Because I can learn more about topics that interest me;,Economics,It had no impact;,Economics,None;,Working;Personal savings;SU (Statens Uddannelsesstøtte);,Yes,"To finance necessities (Food, studies, rent);Experience for future job applications;To finance the nonnecessities (sociallife, party, travel);Gain expertise and get experience in the field;",20-Nov,1501-2000,2501-3000,1000,Once or twice a week,Agree,Agree,Agree,Agree,Disagree,Strongly agree,Agree
59,6.14.22 10:33:13,6.14.22 10:36:19,anonymous,,Male,25,Living alone,Yes,Public,Master,Denmark,2,Because all my friends did it;,Business,Field of studies;,Philosphy,Both;,Working;,Yes,"To finance necessities (Food, studies, rent);To finance the nonnecessities (sociallife, party, travel);",20-Nov,1001-1500,2001-2500,1000,three to four days a week,Agree,Disagree,Agree,Agree,Agree,Strongly agree,Strongly agree
60,6.14.22 10:36:40,6.14.22 10:38:43,anonymous,,Female,24,Living alone,Yes,Public,Bachelor,Denmark,1.6,Because all my friends did it;Because I can learn more about topics that interest me;Because I did not know what else to do;,Engineering,It had no impact;,Engineering,Both;,Personal savings;SU (Statens Uddannelsesstøtte);,No,,,,1001-1500,1250,three to four days a week,Disagree,Agree,Neutral,Strongly agree,Disagree,Agree,Strongly agree
61,6.14.22 10:42:12,6.14.22 10:45:29,anonymous,,Female,24,Living with other people,Yes,Public,Bachelor,Germany,2.5,Because I can learn more about topics that interest me;Because it is a necessity to get a good job;,Medicine,Choice of university;Accomodation during studies;,Arts,Both;,Family;,No,,,,501-1000,750,Once or twice a week,Agree,Agree,Agree,Agree,Disagree,Strongly agree,Agree
62,6.14.22 11:05:55,6.14.22 11:16:11,anonymous,,Female,23,Living with other people,Yes,Public,Master,Denmark,3,Because it is a necessity to get a good job;,Economics,It had no impact;,Economics,None;,Working;SU (Statens Uddannelsesstøtte);,Yes,Experience for future job applications;Gain expertise and get experience in the field;,20-Nov,501-1000,1001-1500,500,Once or twice a week,Agree,Agree,Agree,Agree,Disagree,Strongly agree,Strongly agree
63,6.14.22 12:23:17,6.14.22 12:27:00,anonymous,,Female,24,Living with other people,Yes,Public,Master,Denmark,1.5,Because I can learn more about topics that interest me;,Economics,It had no impact;,Economics,None;,SU (Statens Uddannelsesstøtte);,No,,,,1001-1500,1250,Once or twice a week,Agree,Agree,Neutral,Agree,Agree,Neutral,Agree
64,6.14.22 12:37:34,6.14.22 12:44:51,anonymous,,Male,24,Living with other people,Yes,Public,Bachelor,Switzerland,2.1,Because I can learn more about topics that interest me;Because it is a necessity to get a good job;Because I did not know what else to do;Because I can see new cities and meet new places;Because it is a fun time;,Business,Choice of university;Accomodation during studies;Location of studies;,Business,Mother;,"Working;Personal savings;State loan (BAFog, Student loan..);Scholarships;",Yes,"To finance necessities (Food, studies, rent);To finance the nonnecessities (sociallife, party, travel);",20-Nov,1501-2000,2001-2500,500,three to four days a week,Agree,Neutral,Agree,Strongly agree,Disagree,Disagree,Neutral
